instance,gringo-size,gringo-timeout-occured,idlv-size,idlv-timeout-occured,newground-idlv-size,newground-idlv-timeout-occured,newground-gringo-size,newground-gringo-timeout-occured
instance_010.lp,3.8583984375,False,3.67578125,False,90.4375,False,86.6513671875,False
instance_013.lp,4.8291015625,False,4.396484375,False,92.9228515625,False,89.6318359375,False
instance_016.lp,9.43359375,False,9.560546875,False,312.2158203125,False,306.2099609375,False
instance_019.lp,14.0302734375,False,13.7333984375,False,454.6376953125,False,440.333984375,False
instance_022.lp,18.6083984375,False,18.1748046875,False,615.9833984375,False,595.7685546875,False
instance_025.lp,23.6162109375,False,23.064453125,False,820.0234375,False,773.8701171875,False
instance_028.lp,1840.359375,False,1721.2685546875,False,1033.35546875,False,941.0693359375,False
instance_031.lp,5472.119140625,False,5116.2744140625,False,1341.2978515625,False,1208.1162109375,False
instance_034.lp,117776.5400390625,False,110096.755859375,False,1626.958984375,False,1470.8095703125,False
instance_037.lp,54390.1259765625,False,50844.63671875,False,1937.255859375,False,1789.6669921875,False
instance_040.lp,6122105.072265625,False,5722833.720703125,False,2259.83203125,False,2155.0048828125,False
instance_043.lp,849545.9658203125,False,794142.076171875,False,2580.27734375,False,2411.5546875,False
instance_046.lp,418479.521484375,False,391189.8916015625,False,3039.359375,False,2852.3681640625,False
instance_049.lp,5274464.4658203125,False,4930478.1259765625,False,3473.4013671875,False,3269.0732421875,False
instance_052.lp,10965480.051757812,False,10488692.319335938,False,3955.01953125,False,3759.3056640625,False
instance_055.lp,3303864.033203125,False,3088385.59765625,False,4403.5068359375,False,4163.39453125,False
instance_058.lp,0,True,0,True,4931.919921875,False,4704.845703125,False
instance_061.lp,0,True,0,True,5455.4794921875,False,5236.0048828125,False
instance_064.lp,0,True,0,True,6026.9970703125,False,5760.66796875,False
instance_067.lp,0,True,0,True,6627.6416015625,False,6375.9384765625,False
instance_070.lp,0,True,0,True,7206.7783203125,False,6978.638671875,False
instance_073.lp,0,True,0,True,7838.3681640625,False,7602.0869140625,False
instance_076.lp,0,True,0,True,8534.314453125,False,8245.099609375,False
instance_079.lp,0,True,0,True,9640.7880859375,False,8935.6669921875,False
instance_082.lp,0,True,0,True,0,True,0,True
instance_085.lp,0,True,0,True,0,True,0,True
instance_088.lp,0,True,0,True,0,True,0,True
instance_091.lp,0,True,0,True,0,True,0,True
instance_094.lp,0,True,0,True,0,True,0,True
instance_097.lp,0,True,0,True,0,True,0,True
instance_100.lp,0,True,0,True,0,True,0,True
instance_103.lp,0,True,0,True,0,True,0,True
instance_106.lp,0,True,0,True,0,True,0,True
instance_109.lp,0,True,0,True,0,True,0,True
instance_112.lp,0,True,0,True,0,True,0,True
instance_115.lp,0,True,0,True,0,True,0,True
instance_118.lp,0,True,0,True,0,True,0,True
instance_121.lp,0,True,0,True,0,True,0,True
instance_124.lp,0,True,0,True,0,True,0,True
instance_127.lp,0,True,0,True,0,True,0,True
instance_130.lp,0,True,0,True,0,True,0,True
instance_133.lp,0,True,0,True,0,True,0,True
instance_136.lp,0,True,0,True,0,True,0,True
instance_139.lp,0,True,0,True,0,True,0,True
instance_142.lp,0,True,0,True,0,True,0,True
instance_145.lp,0,True,0,True,0,True,0,True
instance_148.lp,0,True,0,True,0,True,0,True
instance_151.lp,0,True,0,True,0,True,0,True
instance_154.lp,0,True,0,True,0,True,0,True
instance_157.lp,0,True,0,True,0,True,0,True
instance_160.lp,0,True,0,True,0,True,0,True
instance_163.lp,0,True,0,True,0,True,0,True
instance_166.lp,0,True,0,True,0,True,0,True
instance_169.lp,0,True,0,True,0,True,0,True
instance_172.lp,0,True,0,True,0,True,0,True
instance_175.lp,0,True,0,True,0,True,0,True
instance_178.lp,0,True,0,True,0,True,0,True
instance_181.lp,0,True,0,True,0,True,0,True
instance_184.lp,0,True,0,True,0,True,0,True
instance_187.lp,0,True,0,True,0,True,0,True
instance_190.lp,0,True,0,True,0,True,0,True
instance_193.lp,0,True,0,True,0,True,0,True
instance_196.lp,0,True,0,True,0,True,0,True
instance_199.lp,0,True,0,True,0,True,0,True
