instance,gringo-duration,gringo-timeout-occured,idlv-duration,idlv-timeout-occured,newground-idlv-duration,newground-idlv-timeout-occured,newground-gringo-duration,newground-gringo-timeout-occured
instance_010.lp,0.014026641845703125,False,0.01022791862487793,False,3.576353073120117,False,3.601705551147461,False
instance_013.lp,0.017121315002441406,False,0.01204991340637207,False,3.3295845985412598,False,3.3316588401794434,False
instance_016.lp,0.016059398651123047,False,0.01187276840209961,False,15.264782667160034,False,16.268141269683838,False
instance_019.lp,0.019943714141845703,False,0.027268171310424805,False,26.44416046142578,False,25.411964654922485,False
instance_022.lp,0.04630637168884277,False,0.060785770416259766,False,41.60571217536926,False,38.54834032058716,False
instance_025.lp,0.02717900276184082,False,0.03226113319396973,False,62.411478757858276,False,63.27870011329651,False
instance_028.lp,0.39713382720947266,False,0.5257627964019775,False,77.8555269241333,False,70.78986954689026,False
instance_031.lp,1.0021836757659912,False,1.339566946029663,False,99.74274468421936,False,100.31530284881592,False
instance_034.lp,14.649603605270386,False,16.90760636329651,False,145.5356409549713,False,146.60777688026428,False
instance_037.lp,7.343313217163086,False,8.714958906173706,False,181.09811305999756,False,190.67160606384277,False
instance_040.lp,698.8105413913727,False,717.7925250530243,False,257.74831771850586,False,224.14518880844116,False
instance_043.lp,101.19384241104126,False,108.36390924453735,False,298.3530957698822,False,296.0615904331207,False
instance_046.lp,53.909228801727295,False,59.80296325683594,False,387.9289107322693,False,386.6626453399658,False
instance_049.lp,618.8034796714783,False,644.109926700592,False,468.31066274642944,False,472.15210127830505,False
instance_052.lp,1234.5815165042877,False,1293.930500984192,False,540.6243646144867,False,483.4250979423523,False
instance_055.lp,371.72006011009216,False,370.2793140411377,False,570.1018922328949,False,565.3049635887146,False
instance_058.lp,1800,True,1800,True,622.1609447002411,False,625.3715000152588,False
instance_061.lp,1800,True,1800,True,726.7691886425018,False,720.5590922832489,False
instance_064.lp,1800,True,1800,True,836.9202053546906,False,834.9812390804291,False
instance_067.lp,1800,True,1800,True,970.0215706825256,False,979.2340972423553,False
instance_070.lp,1800,True,1800,True,1080.6743524074554,False,1089.3746852874756,False
instance_073.lp,1800,True,1800,True,1214.2991321086884,False,1251.2896330356598,False
instance_076.lp,1800,True,1800,True,1390.835663318634,False,1398.3285772800446,False
instance_079.lp,1800,True,1800,True,1564.5342378616333,False,1554.299896478653,False
instance_082.lp,1800,True,1800,True,1800,True,1800,True
instance_085.lp,1800,True,1800,True,1800,True,1800,True
instance_088.lp,1800,True,1800,True,1800,True,1800,True
instance_091.lp,1800,True,1800,True,1800,True,1800,True
instance_094.lp,1800,True,1800,True,1800,True,1800,True
instance_097.lp,1800,True,1800,True,1800,True,1800,True
instance_100.lp,1800,True,1800,True,1800,True,1800,True
instance_103.lp,1800,True,1800,True,1800,True,1800,True
instance_106.lp,1800,True,1800,True,1800,True,1800,True
instance_109.lp,1800,True,1800,True,1800,True,1800,True
instance_112.lp,1800,True,1800,True,1800,True,1800,True
instance_115.lp,1800,True,1800,True,1800,True,1800,True
instance_118.lp,1800,True,1800,True,1800,True,1800,True
instance_121.lp,1800,True,1800,True,1800,True,1800,True
instance_124.lp,1800,True,1800,True,1800,True,1800,True
instance_127.lp,1800,True,1800,True,1800,True,1800,True
instance_130.lp,1800,True,1800,True,1800,True,1800,True
instance_133.lp,1800,True,1800,True,1800,True,1800,True
instance_136.lp,1800,True,1800,True,1800,True,1800,True
instance_139.lp,1800,True,1800,True,1800,True,1800,True
instance_142.lp,1800,True,1800,True,1800,True,1800,True
instance_145.lp,1800,True,1800,True,1800,True,1800,True
instance_148.lp,1800,True,1800,True,1800,True,1800,True
instance_151.lp,1800,True,1800,True,1800,True,1800,True
instance_154.lp,1800,True,1800,True,1800,True,1800,True
instance_157.lp,1800,True,1800,True,1800,True,1800,True
instance_160.lp,1800,True,1800,True,1800,True,1800,True
instance_163.lp,1800,True,1800,True,1800,True,1800,True
instance_166.lp,1800,True,1800,True,1800,True,1800,True
instance_169.lp,1800,True,1800,True,1800,True,1800,True
instance_172.lp,1800,True,1800,True,1800,True,1800,True
instance_175.lp,1800,True,1800,True,1800,True,1800,True
instance_178.lp,1800,True,1800,True,1800,True,1800,True
instance_181.lp,1800,True,1800,True,1800,True,1800,True
instance_184.lp,1800,True,1800,True,1800,True,1800,True
instance_187.lp,1800,True,1800,True,1800,True,1800,True
instance_190.lp,1800,True,1800,True,1800,True,1800,True
instance_193.lp,1800,True,1800,True,1800,True,1800,True
instance_196.lp,1800,True,1800,True,1800,True,1800,True
instance_199.lp,1800,True,1800,True,1800,True,1800,True
